 Rank                     Fighter Score
  832                Mike Nickels   999
  833                 Rory Singer   999
  834             Junior Assuncao   999
  835             Troy Mandaloniz   999
  836             Jon Koppenhaver   999
  837           Yoshiyuki Yoshida   999
  838           Mike Ciesnolevicz   999
  839        Carlos Eduardo Rocha   999
  840               Jeff Hougland   999
  841                 Jimy Hettes   999
  842                  Nick Denis   999
  843              Chris Clements   999
  844            Nah-Shon Burrell   999
  845             Joe Ellenberger   999
  846                Randa Markos   999
  847             Jon Delos Reyes   999
  848            Levan Makashvili   999
  849               Marcin Tybura   999
  850                 Tyson Pedro   999
  851                 Naoki Inoue   999
  852                  Cole Smith   999
  853          Dalcha Lungiambula   999
  854             Miranda Granger   999
  855           Kennedy Nzechukwu   999
  856            Yorgan de Castro   999
  857               Sergey Spivak   999
  858                Tanner Boser   999
  859                 Randy Costa   999
  860               Jun Yong Park   999
  861                CJ Fernandes   999
  862               Mark Robinson   999
  863               Shonie Carter   998
  864               Tedd Williams   998
  865               Joe Stevenson   998
  866                  Corey Hill   998
  867                   Luiz Cane   998
  868              Danny Castillo   998
  869                   Ken Stone   998
  870              Anton Kuivanen   998
  871               Liz Carmouche   998
  872              Elias Silvério   998
  873                 Nico Musoke   998
  874            Tarec Saffiedine   998
  875               Ricardo Abreu   998
  876               Ning Guangyou   998
  877               Valmir Lázaro   998
  878                Pawel Pawlak   998
  879          Alessio Di Chirico   998
  880                  Daichi Abe   998
  881             Steven Peterson   998
  882                 Pete Spratt   997
  883                   Sam Hoger   997
  884                Shane Nelson   997
  885              Eliot Marshall   997
  886             James McSweeney   997
  887                 Court McGee   997
  888                 Vaughan Lee   997
  889           Marcelo Guimarães   997
  890                Zhang Lipeng   997
  891          Valérie Létourneau   997
  892                Tiago Trator   997
  893              Aiemann Zahabi   997
  894           Jonathan Martinez   997
  895               Blagoy Ivanov   997
  896                Tony DeSouza   996
  897             Trevor Prangley   996
  898              Nate Marquardt   996
  899             Cyrille Diabaté   996
  900                Ronny Markes   996
  901                Louis Smolka   996
  902               Peter Sobotta   996
  903               Fredy Serrano   996
  904          Alexander Yakovlev   996
  905               Lauren Murphy   996
  906              Josh Stansbury   996
  907                  Ben Askren   996
  908               Mirko Cro Cop   995
  909               Roan Carneiro   995
  910                 Rob Emerson   995
  911                   Mike Pyle   995
  912                Brian Bowles   995
  913              Eddie Wineland   995
  914             Aleksandra Albu   995
  915          Jessica-Rose Clark   995
  916               Jason Lambert   994
  917               Amir Sadollah   994
  918              Marcus Brimage   994
  919               Dylan Andrews   994
  920               Marco Beltrán   994
  921             Gabriel Benítez   994
  922               Frank Camacho   994
  923             Arman Tsarukyan   994
